0;0;-0;-0
0,0158666;0,0158646;0,0158654;0,0158646
0,0317333;0,0317173;0,0317189;0,0317173
0,0475999;0,047546;0,0475483;0,047546
0,0634665;0,0633387;0,0633419;0,0633387
0,0793331;0,0790836;0,0790876;0,0790836
0,0951998;0,0947687;0,0947734;0,0947687
0,111066;0,110382;0,110388;0,110382
0,126933;0,125912;0,125918;0,125912
0,1428;0,141346;0,141353;0,141346
0,158666;0,156673;0,156681;0,156673
0,174533;0,171881;0,17189;0,171881
0,1904;0,186959;0,186968;0,186959
0,206266;0,201894;0,201904;0,201894
0,222133;0,216675;0,216686;0,216675
0,237999;0,231291;0,231302;0,231291
0,253866;0,245729;0,245742;0,245729
0,269733;0,25998;0,259993;0,25998
0,285599;0,274031;0,274044;0,274031
0,301466;0,287871;0,287885;0,287871
0,317333;0,301489;0,301503;0,301489
0,333199;0,314874;0,314889;0,314874
0,349066;0,328015;0,328031;0,328015
0,364932;0,340901;0,340918;0,340901
0,380799;0,353522;0,353539;0,353522
0,396666;0,365866;0,365884;0,365866
0,412532;0,377924;0,377943;0,377924
0,428399;0,389685;0,389705;0,389685
0,444266;0,401139;0,401159;0,401139
0,460132;0,412276;0,412296;0,412276
0,475999;0,423085;0,423106;0,423085
0,491866;0,433557;0,433578;0,433557
0,507732;0,443681;0,443703;0,443681
0,523599;0,45345;0,453472;0,45345
0,539465;0,462852;0,462875;0,462852
0,555332;0,47188;0,471903;0,47188
0,571199;0,480523;0,480547;0,480523
0,587065;0,488773;0,488797;0,488773
0,602932;0,496621;0,496645;0,496621
0,618799;0,504058;0,504083;0,504058
0,634665;0,511077;0,511102;0,511077
0,650532;0,517668;0,517694;0,517668
0,666398;0,523825;0,52385;0,523825
0,682265;0,529538;0,529564;0,529538
0,698132;0,5348;0,534826;0,5348
0,713998;0,539604;0,53963;0,539604
0,729865;0,543942;0,543969;0,543942
0,745732;0,547808;0,547835;0,547808
0,761598;0,551195;0,551222;0,551195
0,777465;0,554095;0,554122;0,554095
0,793331;0,556502;0,556529;0,556502
0,809198;0,558411;0,558438;0,558411
0,825065;0,559814;0,559842;0,559814
0,840931;0,560707;0,560734;0,560707
0,856798;0,561083;0,561111;0,561083
0,872665;0,560938;0,560965;0,560938
0,888531;0,560266;0,560293;0,560266
0,904398;0,559062;0,559089;0,559062
0,920265;0,557321;0,557348;0,557321
0,936131;0,55504;0,555067;0,55504
0,951998;0,552213;0,55224;0,552213
0,967864;0,548837;0,548864;0,548837
0,983731;0,544908;0,544935;0,544908
0,999598;0,540423;0,54045;0,540423
1,01546;0,535379;0,535405;0,535379
1,03133;0,529771;0,529797;0,529771
1,0472;0,523599;0,523624;0,523599
1,06306;0,516858;0,516883;0,516858
1,07893;0,509548;0,509573;0,509548
1,0948;0,501665;0,50169;0,501665
1,11066;0,493209;0,493233;0,493209
1,12653;0,484177;0,484201;0,484177
1,1424;0,474569;0,474592;0,474569
1,15826;0,464383;0,464406;0,464383
1,17413;0,45362;0,453642;0,45362
1,19;0,442277;0,442299;0,442277
1,20586;0,430356;0,430377;0,430356
1,22173;0,417856;0,417877;0,417856
1,2376;0,404778;0,404798;0,404778
1,25346;0,391123;0,391141;0,391123
1,26933;0,37689;0,376908;0,37689
1,2852;0,362082;0,362099;0,362082
1,30106;0,346699;0,346716;0,346699
1,31693;0,330744;0,33076;0,330744
1,3328;0,314219;0,314234;0,314219
1,34866;0,297125;0,297139;0,297125
1,36453;0,279465;0,279478;0,279465
1,3804;0,261242;0,261254;0,261242
1,39626;0,242459;0,24247;0,242459
1,41213;0,223119;0,223129;0,223119
1,428;0,203225;0,203235;0,203225
1,44386;0,182782;0,182791;0,182782
1,45973;0,161794;0,161802;0,161794
1,4756;0,140264;0,140271;0,140264
1,49146;0,118198;0,118204;0,118198
1,50733;0,0956008;0,0956053;0,0956008
1,5232;0,0724766;0,07248;0,0724766
1,53906;0,0488313;0,0488336;0,0488313
1,55493;0,0246705;0,0246716;0,0246705
1,5708;9,61835e-017;0;0
