-1;-1,59192;-2,53314;-1,46664;-1,1437;-2,92888;-1,43766;-1,15818;-2,77837;-2,47864;
-2;-2,57066;-4,55001;-2,453;-2,1498;-4,92867;-2,4501;-2,15124;-4,77815;-4,47714;
-3;-3,56862;-6,55187;-3,45169;-3,15044;-6,92867;-3,4514;-3,15059;-6,77815;-6,47712;
-4;-4,56842;-8,55178;-4,45156;-4,15051;-8,92864;-4,45153;-4,15052;-8,77812;-8,47714;
-5;-5,56839;-10,2993;-5,45155;-5,15051;-10,855;-5,45154;-5,15052;-10,995;-10,3992;
-6;-6,56849;-9,85843;-6,45155;-6,15055;-11,5434;-6,45155;-6,15052;-10,0839;-10,0865;
-7;-7,55189;-8,84901;-7,45288;-7,13999;-9,5522;-7,44603;-7,14337;-9,23369;-9,23368;
-8;-8,51926;-8,51926;-7,84917;-8,0941;-8,51566;-8,0941;-7,51137;-8,21628;-8,21628;
-9;-6,88538;-6,88538;-7,43941;-6,73122;-7,71774;-7,12688;-7,43941;-7,08228;-7,08228;
-10;-6,45315;-6,45315;-6,73122;-5,88742;-6,73122;-6,73122;-6,73122;-7,08228;-7,08228;
-11;-6,45315;-6,45315;-5,2704;-5,24133;-6,73122;-5,24133;-6,73122;-7,08228;-7,08228;
-12;-4,10753;-4,10753;-5,24133;-3,93271;-5,24133;-5,24133;-5,24133;-4,0511;-4,0511;
-13;-4,10753;-4,10753;-3,97763;-2,91524;-3,97763;-3,97763;-3,97763;-3,0973;-3,0973;
-14;-2,63855;-2,63855;-2,46395;-1,72657;-2,67466;-2,11542;-2,46395;-3,0973;-3,0973;
-15;-0,802086;-0,570648;-1,1546;-0,580015;-1,83749;-1,3875;-0,626017;-0,957728;-0,957728;
-16;-0,0749609;-0,0749609;-0,39457;-0,150515;-0,81817;-0,150515;-0,0185313;0;-4,82164e-017;
