-1;-1,59191;-2,53311;-1,46664;-1,1437;-2,92887;-1,43766;-1,15818;-2,77843;-2,47862;
-2;-2,57093;-4,56196;-2,45301;-2,15033;-4,96227;-2,45033;-2,15112;-4,7549;-4,49072;
-3;-3,57529;-4,49313;-3,46748;-3,10146;-4,77447;-3,42662;-3,1203;-4,33151;-4,32599;
-4;-3,83361;-3,83361;-3,39748;-3,70858;-3,9897;-3,70858;-3,15587;-3,77974;-3,77974;
-5;-2,98074;-2,98074;-2,65984;-2,08889;-2,65984;-2,65984;-2,65984;-2,86705;-2,86701;
-6;-1,17646;-1,17646;-2,08889;-2,08889;-2,08889;-2,08889;-1,42077;-1,33418;-1,33418;
-7;-0,610082;-0,0749609;-0,954441;-0,314271;-0,954441;-0,954441;-0,150515;-0,716488;-0,716488;
